title,price_pln,brand,model,year,mileage_km,fuel,transmission,image_url
Volkswagen Passat B7 2.0 tdi kombi,43000,,Passat,2014,160000,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/ajwoskk067qp1-PL/image;s=1620x2160
Volkswagen Passat B7 2.0 tdi kombi,43000,,Passat,2014,160000,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/ajwoskk067qp1-PL/image;s=1620x2160
Suzuki Grand Vitara 2.0 140KM + LPG 4x4 Klima Alu Grzane Fotele,10900,,Vitara,2006,260000,LPG,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/fzcvyhxh6j5q-PL/image;s=1000x750
Suzuki Grand Vitara 2.0 140KM + LPG 4x4 Klima Alu Grzane Fotele,10900,,Vitara,2006,260000,LPG,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/fzcvyhxh6j5q-PL/image;s=1000x750
"BMW 320 diesel ,sedan",12900,,3,2006,254000,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/lt65liqt264q2-PL/image;s=2000x1500
"BMW 320 diesel ,sedan",12900,,3,2006,254000,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/lt65liqt264q2-PL/image;s=2000x1500
BMW Seria 3 G21 2.0d Panorama Czarny Sufit Sportowe Fotele Bezwypadk,93900,,3,2020,179000,Diesel,Automatyczna,https://ireland.apollo.olxcdn.com:443/v1/files/bj9bxuwlhuyj3-PL/image;s=750x1000
BMW Seria 3 G21 2.0d Panorama Czarny Sufit Sportowe Fotele Bezwypadk,93900,,3,2020,179000,Diesel,Automatyczna,https://ireland.apollo.olxcdn.com:443/v1/files/bj9bxuwlhuyj3-PL/image;s=750x1000
Skoda Fabia III / okazja kliamtyzajca / ekektryka /,5900,,Fabia,2008,320000,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/h0oxsio2kr1q2-PL/image;s=1000x750
Skoda Fabia III / okazja kliamtyzajca / ekektryka /,5900,,Fabia,2008,320000,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/h0oxsio2kr1q2-PL/image;s=1000x750
Peugeot Express 1.6 Disel,41400,,Expert,2017,229000,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/ale9ge8p4ycl3-PL/image;s=765x1020
Peugeot Express 1.6 Disel,41400,,Expert,2017,229000,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/ale9ge8p4ycl3-PL/image;s=765x1020
Ford Focus lift polski salon,19999,,Focus,2015,324544,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/6t3c7wbidwye1-PL/image;s=2000x900
Ford Focus lift polski salon,19999,,Focus,2015,324544,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/6t3c7wbidwye1-PL/image;s=2000x900
BMW E90/Nowy rozrząd/mocno doinwestowane,32000,,3,2008,212000,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/f628h0t74jmt2-PL/image;s=3456x4608
BMW E90/Nowy rozrząd/mocno doinwestowane,32000,,3,2008,212000,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/f628h0t74jmt2-PL/image;s=3456x4608
Golf IV GT Sport Gwint 1.9Tdi Bez rdzy,18500,,Golf,2003,408000,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/5fn35bu52cbg1-PL/image;s=2000x1500
Golf IV GT Sport Gwint 1.9Tdi Bez rdzy,18500,,Golf,2003,408000,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/5fn35bu52cbg1-PL/image;s=2000x1500
AUDI A3 2012r 2.0 TDI 170KM 1wszy wlaściciel Świetny Stan,23900,,A3,2012,256000,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/spym9foju6ug2-PL/image;s=750x1000
AUDI A3 2012r 2.0 TDI 170KM 1wszy wlaściciel Świetny Stan,23900,,A3,2012,256000,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/spym9foju6ug2-PL/image;s=750x1000
